date,title,rating,review,sentiment,feature
2020-10-27,Bought for occasional use while camping and as a substitute use for knives.,2.0,"I bought these for camping and for something that can be tossed around and put in a tub of water. Shortly after buying, I took 2 knives camping. Worked ok. They were sharp, light. No problem Then I brought out two other knives, that I hadn't brought camping to use for pumpkin carving. I used the bread knife and the blue one. The blade nearly popped out of the handle on the first use. It's loose now, and pretty much, unused other than that one time. I wouldn't buy these for daily use, occasional use might give you a few years out them.",1,Quality
2020-10-27,Never again..,2.0,"They arrived sharp and ready to use but 10 days later after minimal use, they started to rust as pictured. Stainless steel eh? The safety covers fall off easily so there's really no point. You get what you pay for, which in this case was basically a cutting board.",1,Sharpness
2020-10-29,Inconsistent Quality and Hard to Clean,3.0,"The product arrived in a nice package, each knife looked very cool coming out of the box with its black blade and safety cover.  The first knife I tried was razor sharp, I was slicing tomatoes super thin with ease.  While slicing the tomatoes, I ran into the first issue...  The handle stains.The handles are white and black, the white part started turning red as I sliced the tomato.  When I noticed the stain, I quickly ran the knife under running water, then scrubbed the handle and the stain was still there.  The stain is would not come out.  I even put it through a dishwasher, nothing worked.The next issue is the inconsistency of the sharpness of the blades.  The first blade I tried was super sharp out of the box.  The second, was sharpish.  The third, well I would have had better luck slicing with a brick.  I don't mind sharpening a blade when it needs it, but when I buy I knife it needs some sort of edge.  It is not good when the cardboard the knife came in is sharper than the blade.",1,Ease of use
2020-10-31,Maybe not as strong as advertised,3.0,Nice and sharp but one of the knives broke after 3 months. Couldn’t handle the pressure. Board is good,0,Cover
2020-11-04,Good price.,3.0,Color looks good but didn’t like red and purple one.Good thing is comes with sharpener.,1,Ease of use
2020-11-04,Didn’t last two weeks,1.0,Bought this set two weeks ago and the knives are already broken.,0,Sharpness
2020-11-08,Repacking with dirt and water stain,1.0,Repackage items with dirt and water stain on knifes. No damages but definitely not a reputable to buy.,0,Quality
2020-11-08,Se ven hermosos,3.0,Se ven muy bonitosTodavía no los uso espero sean buenos,0,Quality
2020-11-12,Nice but slightly dangerous,3.0,These knives are good quality and inexpensive.  One issue is that the plastic safety covering and knives are black.  Be careful!  I went to remove the cover only to learn it was already removed and I cut my hand on the blade.  The black blades are dangerous!  Otherwise fine if you are acutely aware of that issue.,1,Stain resistance
2020-11-20,Handle came off in the first month,1.0,Handle came off in the first month. Didnt like the product. Not recommended,0,Sharpness
2020-11-20,Knifes are not very sharp,3.0,"These knives are not very sharp, but I guess I should not have expected more for the price. The only reason I did not return this set is because I like the cutting board.",1,Size
2020-11-22,Bad product and bad customer support,1.0,"I bought this when  I desperately needed knife set. First of all the chef knife was not at all sharp, which is not at all acceptable. The slicing knife was ok.Since I got it in a deal, I tried contacting the seller stating the problem.he is offering me 10%refund and asking me to use the knife sharpener.I was quite disappointed, but I tried sharpening it, which was of no use.I will return the whole set. And I have to spend my time looking for other offers..it was very bad and time consuming experience.",0,Stain resistance
2020-11-29,Dull,3.0,These look great unfortunately they're no where as near sharp as you would think brand new knives would be. I've not attempted to sharpen them simply bc new knives shouldn't be dull.,0,Sharpness
2020-12-07,Not that great.,3.0,Not sure what all the other reviewers are raving about.  These knives are just average at best.  Paid promotion?  I don't know.  I tried to slice an apple with one and it was much more difficult than I would have expected given the glowing reviews of razor sharpness these knives received.  You get what you pay for here.  I paid $14 bucks - nuff said.,0,Ease of use
2020-12-07,One Knife broke for no apparent reason,3.0,"they look good, very sharp. But one broke first time I took it out. I'll keep using them see what happens. I'd like the one replaced.",1,Stain resistance
2020-12-12,Not Sharp,1.0,These knives are not sharp at all....don't waste your $$,0,Value
2020-12-13,CHEAP QUALITY DO NOT BUY,1.0,Extremely cheap Chinese product! First knife I used the blade came apart from the handle the VERY FIRST TIME I used it!! Save your money and do not buy this!!,1,Color
2020-12-16,Not so sweet,3.0,Broke cutting rice crispys treat,1,Quality
2020-12-19,Died from Cutting the Cheese,1.0,"I'm very disappointed with the blue knife, as it broke right off while cutting off a piece of cheese. I thought it was steel, and supposed to last. I didn't realize it had a dairy allergy. And there is NO WARRANTY info. The link doesn't take me anywhere useful.",1,Value
2020-12-25,Cheaply made,1.0,"Blade broke off just cutting cheese,",0,Stain resistance
2020-12-26,Peeler and cheese grater are no good,2.0,The potatoe piller is awful it's really hard to peel with as the blades are at a weird angle. It hurt my hand how much force I had to use. The cheese grater is so flimsy and it's really hard to use because of this.,0,Value
2020-12-31,Not a good buy if you have a small kitchen,1.0,I was excited for this set until I realized there is no place for the knives to store if you have a small kitchen.,1,Stain resistance
2021-01-03,5 months,2.0,Your product changed color with in 5 months wow,1,Cover
2021-01-04,Knives aren’t the best quality,2.0,Decent set but one of the knives broke after 2 weeks of use. I wouldn’t buy these again,0,Sharpness
2021-01-04,Bad quality! Do not buy!,1.0,These are really bad! The coating of the knives all chipped! Yeh first chipped from the washing Maschine after the first week! The rest hand wash only as well! The cutting board handle just broke last week!! I do not recommend these at all!!!,1,Ease of use
2021-01-10,Not good quality,1.0,On my 1st use of one of the knives - it snapped in half cutting a brick of cheese,0,Stain resistance
2021-01-13,Value knives,3.0,I loved these. Color pretty. Easy to clean. But then broke as I was cutting a potato....,1,Ease of use
2021-01-16,Missing sharpener,3.0,"My Njece  loves the knives n the cutting board but there was no sharpener, the spot was empty please send me the sharpener so I can give to my Niece this was her birthday gift. Thank you 😊",1,Sharpness
2021-01-17,Easy to broke,1.0,One of the knife broke after 2 days using it. I have the feeling the same is going to happen won’t the others. So dissatisfied.,1,Sharpness
2021-01-23,Poor quality,1.0,Knives started to break after a week of use. Poor quality.,1,Value
2021-01-24,The knives are not very sharp!  VERY DISAPPOINTED,1.0,"My old knives are soooo much better than these.  I know that they were inexpensive but this is  such a waste of your money.  I have ordered some knives like these from, obviously, another manufacturer for camping and they are so sharp you have to be super careful and they were also inexpensive.  DO NOT WASTE YOUR MONEY!",0,Stain resistance
2021-02-02,Nice except it has a weird spot.,3.0,"Received yesterday.Everything looks good except one of the knife has weird spot.I don’t think it would do anything while i cut stuff but still, it’s brand new and it has a spot that i cannot clean. Not an expensive one, so i guess it’s cheap material..... i dont Know if it’s giftable item tho, if i gift this to someone and that person receive an item like this, i would feel bad to gift.",0,Sharpness
2021-02-08,Cheap,1.0,Snapped in half cutting up some cheese.,1,Stain resistance
2021-02-09,Unable to contact,3.0,The blue knife was not even connected. Gave this as a Christmas gift and the first time it was used it broke off being used. One week outside of the return window of course. Very disappointing and embarrassing as a gift.,0,Quality
2021-02-11,Not worth it,1.0,"Broke after the first time using then, cutting cheese",0,Color
2021-02-16,Don’t buy!,1.0,Didn’t even survive the first use. I would definitely not recommend.,0,Ease of use
2021-02-21,disappointed,3.0,I love the idea of the knives with the cutting board and vegetables peeler but most of the knives were extremely heavy and difficult to hold while cutting,0,Quality
2021-02-23,Love it,3.0,Great price,1,Ease of use
2021-02-25,Not what I ordered,1.0,They were not the colors in the picture. They were black and white.,0,Value
2021-03-14,Fine if on a budget,3.0,"Bought this on a major discount, but would not purchase this full price. The knives are not sharp (my 4yr old cuisinart knives are sharper), and the handle was stained with my first use (I chopped up a butternut squash and handle turned yellow). Wouldn't recommend this to a friend/family. Fine for the price I purchased I guess.",1,Ease of use
2021-03-16,Broke 3 months after purchase,1.0,"Sharp knives but definitely not durable. Was cutting up garlic and the whole knife broke, not sure how that happens but I’m disappointed as the knives are sharp but it didn’t even make it 3 months.",1,Color
2021-03-17,Gets the job done  :-/,3.0,"Worth the sale price, nothing more. Blades are not as sharp as I’d like. It takes effort to cut simple produce. Unfortunately I would not purchase again. Sorry",1,Ease of use
2021-03-18,Chips and dirty,3.0,"Bought this set, I opened the box and the knives were dirty. Spots, chips, and a black dirt of some sort. I was really looking forward to replacing my old ones. Guess I'll wait. The cutting board and little sharpener were ok. DisappointedEDIT despite the chips in paint and dirt,  I scrubbed them up and they didnt chip further. And they are sharp. I've decided to keep them",0,Ease of use
2021-03-27,Sharp,4.0,Very sharp,0,Color
2021-03-27,"Not durable, but sharp.",2.0,"Knives are very sharp but you get what you pay for. 2 of the knives already broke from the handle, one cutting an onion, and I forgot what I was cutting with the other. I bought because they had great reviews... Maybe I just got unlucky.",1,Quality
2021-03-30,"Good sharp knives, but glue the handles.",4.0,The paring knife handle popped out while I was poking holes in a potato.  Had to reglue.,1,Size
2021-03-31,No sharpener and dull,1.0,Didn't come with the sharpener (could see the slot it was supposed to be in) and the knives were dull out of the box. Returning.,1,Sharpness
2021-04-01,Knife broke in less than a month!,1.0,One of the knives broke while cutting a softened piece of cheese. I'm lucky I wasn't injured and do not recommend these knives at all! I've bought dollar tree knives that have NEVER broken!,0,Size
2021-04-05,Nice set,4.0,I'm quite impressed with the knives 😁,1,Sharpness
2021-04-05,Sharp but flimsy,4.0,The knives feel a bit flimsy but are very sharp and slice uncooked chicken very smoothly,0,Quality
2021-04-08,Not as sharp as I expected.,3.0,"Expected sharper knives.  Will not be in my knife drawer for long.  Knowing they will probably dull shortly, I probably  will throw them out .  Don't expect much from the sharpener either.  The cutting board seems to  be the only sturdy product in the group.",1,Sharpness
2021-04-11,Good set for RV,4.0,Only issue is we got a black and white set not the color set as advertised but we like it.,0,Ease of use
2021-04-13,Decent Set,4.0,Decent Knife Set. Very sharp blades that get the job done.,0,Quality
2021-04-16,"Quality, value, easily stained handles",4.0,Extremely sharp! These are great aside from being easily stained. Do not let the handle sit with any excess juice from carrots etc. One of them has a permanent orange tint now...aside from that they're amazing.,0,Size
2021-04-20,Worst product I've bought on Amazon,1.0,The worst product I have bought off of Amazon took it out of the Box washed it tried to cut a block of cheese with it and the knife broke,1,Stain resistance
2021-04-25,Broken on first use,1.0,The first knife i used broke off the handle while chopping an onion.  That's pretty poor quality if you ask me.,0,Value
2021-04-27,Waste of money,1.0,Handle broke right away,1,Size
2021-05-02,Breaks easily,1.0,Broke after the third time using. I was cutting small brussel sprouts. Im sure it wont be long before the others break also. Dissapointed.,0,Size
2021-05-07,Cheap crap,1.0,What a piece of crap bought for our camper first time using the small knife the handle broke off while trying to cut cheese. Super unimpressed,0,Quality
2021-05-08,Not as expected,1.0,Very cheaply made,1,Size
2021-05-11,They Oxide,1.0,"The media could not be loaded.
                



I was excited about these knives but after washing them I noticed they are not good. They build oxideVery disappointing.",1,Size
2021-05-12,Cheap,3.0,Easy to clean,0,Stain resistance
2021-05-12,"Cheap, Used, Stay Away",1.0,"After researching reviews, we went with this product for it's overall value and price. Unfortunately, we returned it as soon as we got it in the mail. The knives looked used...having worn off lettering, scratches and potential stains. NOT the kind of visuals one wants to see on a new knife set. Advice: Spend a couple more dollars and buy something better quality and hopefully unused.",0,Color
2021-05-18,Great for camping,4.0,"Love the plastic sheaths, great for throwing in the camping box.",1,Ease of use
2021-05-28,No recomment,3.0,The knifes hard to cut the hard things. Like carrots so the big knife i dont think can cut the pumpkin too. Hurt hand when cut strong too.,0,Sharpness
2021-05-29,Good product,4.0,Not very sharp but good for the price.,0,Stain resistance
2021-05-29,Please send another blue knife it broke.,3.0,"Blue Blade Broke in less than a year cutting Pepper Jack Cheese! What is the longevity of these knives. I don't use knives every day, so why would this happen? I need a replacement please for the blue knife.",1,Ease of use
2021-06-01,"Great knives, wrong color",4.0,"I love these knives. The only reason I gave 4/5 stars is because I ordered the black set and received the multicolored. Regardless, they work wonderfully.",1,Size
2021-06-12,very nice kitchen ware.,4.0,"Nice for my kitchen. I love the colorful knives n cutting board.. I haven't used it yet but soon will.. My hubby says these items were for ""his kitchen, lol.""Update: i had a chance to use them .. be very careful with them. I brushed by the blade with no feeling n cut myself good, no stitches, thank god.",0,Color
2021-06-15,Value for money,4.0,The white on the handles,0,Stain resistance
2021-06-15,Excellent,4.0,So many pieces good gift,1,Quality
2021-06-17,Larger knives where not very sharp.,3.0,"The pearing knife is very sharp, all of the other knives I might al well be using my 4 yo's training chefs knifes...",1,Sharpness
2021-06-21,NOT SAFE,2.0,"NOT SAFE. Brand new out of the box ,i wash the knife,test it on a tomato,did a good job ,then i rinse it off and the blade came out of the handle as it as no glue. Not safe.",1,Cover
2021-06-21,After 4 months of minimal use one of my knives broke.,1.0,Didn’t last long at all!!,0,Cover
2021-06-24,You buy cheap you get cheap,2.0,The dullest set of knives i've ever bought. Gave it a shot based on some reviews but I regret it. Chef's knife especially is a joke. You get what you pay for -- cheap.,0,Stain resistance
2021-06-26,Decent starter set.,4.0,"Fairly balanced, sharp, and the right size in your hand.",1,Stain resistance
2021-06-26,What?,1.0,It says 12 pc set it's only 7 pc,0,Quality
2021-06-26,Opened box,1.0,Opened box and knife looks like used one.,0,Stain resistance
2021-06-28,There ok knives.,4.0,They will work for me.,0,Value
2021-06-29,What I wanted,4.0,Good value,0,Value
2021-06-30,Very sharp knives.,4.0,Like the different sizes and the cutting board.,1,Size
2021-07-01,Good product - great price,4.0,Good product - great price,1,Cover
2021-07-01,Very nice set,4.0,The only complaint I have is the sleeves don't fit tightly on the blade. Other than that they are perfect.,1,Quality
2021-07-02,Ok for the camper,3.0,Not very sturdy but it will be ok for the camper,1,Value
2021-07-03,I HATE YELLOW,4.0,I LOVE how sharp these knives are and a nice selection. Problem is the white part turns yellow after the first use. I had hoped to display them.,0,Sharpness
2021-07-06,Knife set and cutting board.,4.0,Knife work very well.,0,Value
2021-07-10,Not sharp enough to cut butter!,1.0,You get what you pay for!  These knives are terrible.  Good thing they come with a sharpener because you have to sharpen them after every slice!,0,Quality
2021-07-24,Great but covers must fit the knives correctly,4.0,"Just what we wanted.  HOWEVER, the knife's cover (next to the smallest knife) does not fit correctly and slides off the knife.  All the others fit correctly and are fine. It would be wonderful to get a replacement knife with cover.",0,Cover
2021-07-25,Value set,4.0,Honestly very good quality knives for their price. They do seem to hold an edge decently well and they do hone nicely with the provided sharpener. Even an older soft tomato cuts easily. My one complaint is that the plastic material that makes the handles does stain easily. I stained my chefs knife on day one with an orange bell pepper. It faded when I washed it but it just lingers.,0,Sharpness
2021-07-27,Broke cutting cheese,2.0,Not very strong. Company is not accessible for the lifetime warranty.,1,Sharpness
2021-08-02,For the price they aren't bad,3.0,For the price you can't beat them because you get a nice cutting board and a knife sharpener. The knives aren't very sharp but they are ok. I would be upset if I spent $80 but can't be for the price.,1,Sharpness
2021-08-11,Decent,4.0,"The set is great to solve a traveling issue I have which is being able to cook anywhere I go, only catch is that the knife handles get dirty and unless you want to cut off the rubber grip so it doesn’t show the stains from cooking then you’ll be fine.",0,Color
2021-08-14,Good set....but they count the knife covers as pieces,3.0,They're good knives but they trick you into thinking you're getting more by saying 12 piece set. They count the covers as pieces too. So it's really 5 knives & a cutting board...6 piece set,1,Size
2021-08-16,"Knives weren’t too sharp, needed sharpening",3.0,"Knives needed sharpening after I try using them. Had to take them to sharpen, the sharpener supplied wasn’t good enough doesn’t keep sharp .",1,Stain resistance
2021-08-19,Beautiful set,4.0,Really sturdy and attractive cookware.  My only complaint is that the handles are metal so you need to use potholders.,1,Quality
2021-08-22,These are awesome,4.0,I needed some extra knives and these are great!,0,Sharpness
2021-08-25,Cheal. Useless.,1.0,Goes blunt after a few use and doesn't sharpen properly. It feels cheep made.,1,Cover
2021-08-31,A bit unsafe,2.0,The sheaths don’t click onto the knifes. The fall off easily making them a bit scary to handle.,1,Cover
2021-09-03,Ququaty and safety #1.,4.0,V sharp be carefull.,0,Sharpness
2021-09-17,Made the wife happy.,4.0,"I was disappointed, I thought they were Ceramic. My fault I should have read it closer.",0,Size
2021-09-22,Very good quality,4.0,They are sharp,1,Value
2021-09-29,Decent. One knife broke after 2 weeks of basic use.,3.0,"Decent. One knife broke after 2 weeks of basic use.  The handle separated from the blade while I was cutting, which was a little sketchy.  Would not buy again after seeing the quality.",1,Size
2021-10-01,Heavy,4.0,"I was looking for a lightweight set. Unfortunately, this set is very heavy. If you're looking for sturdy this is it!",1,Size
2021-10-03,Knifes we’re ok. Board didn’t last long at all,3.0,General use in kitchen only cut on it with the knives that came with it p look,0,Stain resistance
2021-10-12,Be Careful!!!,1.0,"These are not sturdy or durable knives. The handle broke away from two of the knives. I bought an automated sharpener to ensure the blades were always sharp to not apply too much pressure on the handles. Handles are plastic and the blades are barely inserted. I was cut cheese and a knife broke. Luckily, it broke at the end of the cutting. My hand could have been hurt.",1,Color
2021-10-22,Awesome,4.0,It’s perfect!,1,Quality
